name,description,owner_avatar_url,html_url,stargazers_count,created_at,updated_at,pushed_at
d3-template,D3 plugin to create and render templates using D3's data binding mechanism,https://avatars.githubusercontent.com/u/5963296?v=4,https://github.com/ErikOnBike/d3-template,8,2018-01-24T21:41:59Z,2023-05-23T13:17:00Z,2023-05-23T13:22:24Z
d3-tooltip,"Simple, beautiful data driven tooltip",https://avatars.githubusercontent.com/u/6873202?v=4,https://github.com/bumbeishvili/d3-tooltip,12,2017-11-06T09:15:01Z,2024-03-05T10:38:02Z,2022-03-13T09:28:38Z
d3-voronoi-treemap,D3 plugin which computes a treemap based on a Voronoi tesselation,https://avatars.githubusercontent.com/u/4328986?v=4,https://github.com/Kcnarf/d3-voronoi-treemap,202,2017-11-28T13:35:04Z,2024-08-01T14:21:04Z,2022-08-16T09:47:02Z
d3-xray,view the data bound to a D3.js project simply by mousing over elements,https://avatars.githubusercontent.com/u/3488572?v=4,https://github.com/vijithassar/d3-xray,27,2016-03-18T18:59:38Z,2023-12-23T17:35:48Z,2017-04-27T07:00:48Z
swoopyarrows,swoopyarrows makes swoopy arrows between things,https://avatars.githubusercontent.com/u/6457498?v=4,https://github.com/bizweekgraphics/swoopyarrows,105,2014-06-12T22:52:35Z,2024-04-17T05:33:22Z,2017-05-02T20:09:22Z
swoopy-drag,Artisanal label placement for d3 graphics,https://avatars.githubusercontent.com/u/1643998?v=4,https://github.com/1wheel/swoopy-drag,120,2016-03-04T19:24:36Z,2024-01-10T09:24:09Z,2018-07-05T03:05:09Z
textures,Textures.js is a JavaScript library for creating SVG patterns,https://avatars.githubusercontent.com/u/1370300?v=4,https://github.com/riccardoscalco/textures,6027,2015-01-28T12:24:23Z,2024-08-09T02:18:43Z,2023-01-01T20:03:38Z
chess-dataviz,chess visualization library written for d3.js,https://avatars.githubusercontent.com/u/304523?v=4,https://github.com/ebemunk/chess-dataviz,71,2015-05-01T19:49:23Z,2024-07-12T23:35:43Z,2021-05-06T16:30:12Z
CodeFlower,Source code visualization utility written in JavaScript with d3.js. Does your code look beautiful?,https://avatars.githubusercontent.com/u/99944?v=4,https://github.com/fzaninotto/CodeFlower,692,2013-03-04T09:40:45Z,2024-08-05T12:55:17Z,2021-05-28T05:04:53Z
d3-cloud,Create word clouds in JavaScript.,https://avatars.githubusercontent.com/u/31223?v=4,https://github.com/jasondavies/d3-cloud,3817,2012-02-08T19:38:01Z,2024-08-17T03:24:14Z,2024-03-10T21:31:59Z
d3-context-menu,A plugin for d3.js that allows you to easy use context-menus in your visualizations.,https://avatars.githubusercontent.com/u/521224?v=4,https://github.com/patorjk/d3-context-menu,140,2014-08-18T04:46:47Z,2024-06-30T01:41:45Z,2021-01-09T19:56:47Z
d3-force-gravity,Implement gravitational attraction (or force-field-like repulsion) using d3-force,https://avatars.githubusercontent.com/u/6852008?v=4,https://github.com/sohamkamani/d3-force-gravity,22,2016-08-12T07:45:20Z,2023-03-29T08:17:37Z,2016-08-12T14:26:49Z
d3-force-reuse,Faster force-directed graph layouts by reusing force approximations,https://avatars.githubusercontent.com/u/6350922?v=4,https://github.com/twosixlabs/d3-force-reuse,124,2018-11-14T20:10:12Z,2024-06-17T11:49:03Z,2021-07-29T14:36:24Z
d3-force-sampled,"A fast, simple, memory-efficient graph layout algorithm for visualizing networks in D3",https://avatars.githubusercontent.com/u/6350922?v=4,https://github.com/twosixlabs/d3-force-sampled,50,2019-03-03T22:00:40Z,2024-06-19T09:41:21Z,2022-02-18T22:30:09Z
d3.sketchy,"A tool to create sketchy backgrounds, shapes and lines",https://avatars.githubusercontent.com/u/302789?v=4,https://github.com/sebastian-meier/d3.sketchy,245,2015-07-28T22:56:24Z,2024-08-17T14:17:21Z,2015-08-03T10:33:37Z
